Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
SAGE,"Sage Therapeutics, Inc.",Rating: Strong Sell1.14,Rating: Sell2.00,Rating: Hold3.05,339.51M,-,A,C-,D-,D-,C-
DLPN,"Dolphin Entertainment, Inc.",Rating: Strong Sell1.14,Rating: Not Covered,Rating: Buy4.00,12.17M,-,C+,B-,D+,F,D
FDMT,"4D Molecular Therapeutics, Inc.",Rating: Strong Sell1.14,Rating: Buy4.00,Rating: Buy4.08,363.81M,-,A,B+,A+,D-,D
BYON,"Beyond, Inc.",Rating: Strong Sell1.14,Rating: Buy3.50,Rating: Buy3.54,278.11M,-,A+,B,F,F,D+
SRI,"Stoneridge, Inc.",Rating: Strong Sell1.14,Rating: Not Covered,Rating: Strong Buy4.50,189.94M,-,A-,A,C-,F,D-
TSNDF,TerrAscend Corp.,Rating: Strong Sell1.14,Rating: Not Covered,Rating: Strong Buy5.00,293.24M,-,A,F,B,D-,D
SBIG,"SpringBig Holdings, Inc.",Rating: Strong Sell1.13,Rating: Not Covered,Rating: Strong Buy5.00,3.59M,-,A+,B-,D-,F,D
NFE,New Fortress Energy Inc.,Rating: Strong Sell1.13,Rating: Buy3.50,Rating: Buy3.90,2.63B,-,D-,F,F,F,B
VINZF,Vinanz Limited,Rating: Strong Sell1.13,Rating: Not Covered,Rating: Strong Buy5.00,30.25M,-,A-,Rating: Not Covered,F,D,C
AMN,"AMN Healthcare Services, Inc.",Rating: Strong Sell1.13,Rating: Hold3.33,Rating: Hold3.33,1.00B,-,A,F,A-,D-,D
PHIO,Phio Pharmaceuticals Corp.,Rating: Strong Sell1.13,Rating: Not Covered,Rating: Buy4.00,2.27M,-,A-,D+,D+,D-,C+
PRLD,Prelude Therapeutics Incorporated,Rating: Strong Sell1.13,Rating: Not Covered,Rating: Hold3.20,57.79M,-,A,D+,C,F,B
SLRX,"Salarius Pharmaceuticals, Inc.",Rating: Strong Sell1.13,Rating: Not Covered,Rating: Not Covered,2.09M,-,B+,F,D,D,C+
MEG,"Montrose Environmental Group, Inc.",Rating: Strong Sell1.12,Rating: Not Covered,Rating: Buy4.28,642.11M,-,C-,C+,D+,F,D
COEP,"Coeptis Therapeutics Holdings, Inc.",Rating: Strong Sell1.12,Rating: Not Covered,Rating: Hold3.00,8.06M,-,B,Rating: Not Covered,D-,D+,C+
GRAM,Gold Flora Corporation,Rating: Strong Sell1.12,Rating: Not Covered,Rating: Strong Buy5.00,10.93M,-,B,B+,D-,F,B-
LYRA,"Lyra Therapeutics, Inc.",Rating: Strong Sell1.12,Rating: Not Covered,Rating: Hold3.40,12.44M,-,A-,D+,C-,D-,C+
INMB,"INmune Bio, Inc.",Rating: Strong Sell1.12,Rating: Buy4.00,Rating: Strong Buy4.50,108.42M,-,D+,F,D,D,D+
CYTH,"Cyclo Therapeutics, Inc.",Rating: Strong Sell1.12,Rating: Not Covered,Rating: Buy3.66,20.71M,-,D,B,F,D,D+
MYNZ,Mainz Biomed N.V.,Rating: Strong Sell1.12,Rating: Not Covered,Rating: Hold3.00,6.55M,-,D+,B,F,D-,B
VTNRQ,"Vertex Energy, Inc.",Rating: Strong Sell1.12,Rating: Not Covered,Rating: Hold3.00,7.29M,-,A+,Rating: Not Covered,D-,F,Rating: Not Covered
IDAI,T Stamp Inc - Class A,Rating: Strong Sell1.11,Rating: Not Covered,Rating: Buy4.00,-,-,A-,C+,F,F,D-
ALZN,"Alzamend Neuro, Inc.",Rating: Strong Sell1.11,Rating: Not Covered,Rating: Strong Buy5.00,5.66M,-,Rating: Not Covered,B+,F,F,B+
BLUE,"bluebird bio, Inc.",Rating: Strong Sell1.11,Rating: Not Covered,Rating: Hold3.10,73.46M,-,D+,A,F,D-,C-
ANL,Adlai Nortye Ltd.,Rating: Strong Sell1.11,Rating: Not Covered,Rating: Strong Buy4.50,81.55M,-,C,B+,C+,D-,C-
XFOR,"X4 Pharmaceuticals, Inc.",Rating: Strong Sell1.11,Rating: Not Covered,Rating: Buy4.33,66.41M,-,C+,C,B,D-,D
XTNT,"Xtant Medical Holdings, Inc.",Rating: Strong Sell1.11,Rating: Not Covered,Rating: Strong Buy5.00,55.60M,-,A,C,B,D-,D-
SONXD,"Sonendo, Inc.",Rating: Strong Sell1.11,Rating: Not Covered,Rating: Hold3.00,1.55M,-,A+,D,C-,F,C+
LUNA,Luna Innovations Incorporated,Rating: Strong Sell1.10,Rating: Not Covered,Rating: Strong Buy4.50,61.76M,-,A-,B,Rating: Not Covered,F,C
